_time;exchange;trading_pair;strategy;type;order_id;size;price;trade_volume;fee;;Sum Trades;PnL;;PnL Net;Date
2018-05-22T09:48:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;6AYZPR;0,47;6935,000000;-3279,000000;-13,220000;0,472800;;0,000000;-13,220000;-13,220000;22.05.2018
2018-05-22T10:26:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;f958250c-99f1-4160-ad9f-f85607b9a3ae;0,47;7010,010000;3314,010000;0,000000;-0,472800;0,000000;35,010000;-13,220000;21,790000;22.05.2018
2018-05-23T10:56:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;CUYV2Z;3,27;6643,000000;-21747,000000;-87,690000;3,273600;3,273600;35,010000;-100,910000;-65,900000;23.05.2018
2018-05-23T11:01:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;83b30747-57af-4562-97a1-8f9dd6720a63;3,27;6718,760000;21994,530000;0,000000;-3,273600;0,000000;282,540000;-100,910000;181,630000;23.05.2018
2018-05-23T18:05:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;GNHR7C;3,89;6369,000000;-24766,000000;-99,870000;3,888600;3,888600;282,540000;-200,780000;81,760000;23.05.2018
2018-05-23T18:26:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;e079a7c1-3fdd-49fd-83bc-26f1e2a5ad5d;3,89;6442,190000;25051,360000;0,000000;-3,888600;0,000000;567,900000;-200,780000;367,120000;23.05.2018
2018-05-24T10:00:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;H7GFHG;1,28;6233,000000;-7973,900000;-32,150000;1,279300;1,279300;567,900000;-232,930000;334,970000;24.05.2018
2018-05-24T10:01:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;7ba32770-b1bd-42b6-888a-5d3026768ad7;1,28;6300,020000;8059,510000;0,000000;-1,279300;0,000000;653,510000;-232,930000;420,580000;24.05.2018
2018-05-24T11:15:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;KX8TR5;0,32;6219,000000;-1980,000000;-7,990000;0,318400;0,318400;653,510000;-240,920000;412,590000;24.05.2018
2018-05-24T11:16:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;ca2bf83e-2a65-4253-958a-de7e54a2d378;0,32;6289,010000;2002,620000;0,000000;-0,318400;0,000000;676,130000;-240,920000;435,210000;24.05.2018
2018-05-24T11:20:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;3UWAFD;3,97;6228,000000;-24713,000000;-99,650000;3,968000;3,968000;676,130000;-340,570000;335,560000;24.05.2018
2018-05-24T11:21:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;7e200ee4-e3a4-45f5-b7a9-ab7fdddded4c;3,97;6306,970000;25026,060000;0,000000;-3,968000;0,000000;989,190000;-340,570000;648,620000;24.05.2018
2018-05-27T07:08:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;KXRC6V;1,06;6222,000000;-6582,300000;-26,540000;1,057900;1,057900;989,190000;-367,110000;622,080000;27.05.2018
